date,event,venue,setlist
2025-06-02,"ろりぽっぷ!!!!!!!単独ライブ","新宿HEADPOWER","1部: SE;01 ろりぽっぷ!!!!!!!;MC;02 HELLO;03 むげんの★Lambie;04 SHINY DAYS;MC | 2部: ラジオ体操;始まりの宴;◯×クイズ;飴入れMY DREAM MY LIFE;飴投げSay Hello‼︎;ぽっぽ♪ポジティブ！！;MC（プチ運動会企画）"
2025-06-07,"⚠️HYPE IDOL! × AGE FES!動員⚠️","品川グランドホール","SE;01 ぽっぽ♪ポジティブ！！;02 ろりぽっぷ!!!!!!!;MC"
2025-06-08,"LUNCH KIDS主催超！大盛り主催ライブ！「やれんのかって!!!!」","神田CLUB F#","SE;01 ろりぽっぷ!!!!!!;02 推し事;03 むげんの☆Lambie;04 ぽっぽ♪ポジティブ！！;05 始まりの宴;MC（2本目）"
2025-06-08,"Killer Tune SHIBUYA 2025 SP LIVE","GARRET udagawa","SE;01 HELLO;02 ぽっぽ♪ポジティブ！！;03 MY DREAM MY LIFE;04 SHINY DAYS;05 始まりの宴;06 Say Hello!!;MC"
2025-06-14,"Killer Tune SHIBUYA 2025 SP LIVE in Shibuya eggman","Shibuya eggman","SE;01 HELLO;02 MY DREAM MY LIFE;03 始まりの宴!!!!!!!;04 推し事 ~女の子アイドルオタクあるある~;05 むげんの★Lambie;06 ぽっぽ♪ポジティブ！！;MC（2本目）"
2025-06-14,"「はなまるっ Vol.90」","浅草VAMPKIN","SE;01 Say Hello!!;02 ぽっぽ♪ポジティブ！！;03 ろりぽっぷ!!!!!!;04 SHINY DAYS;05 始まりの宴;MC（1本目）"
2025-06-15,"ライブジム 第27弾","新宿WALLY","SE;01 ろりぽっぷ!!!!!!!;02 HELLO;03 ぽっぽ♪ポジティブ！！;MC"
2025-06-17,"【GOTANDA IDOL FRONTIER-0617-】","五反田G4","SE;01 推し事〜女の子アイドルオタクあるある〜;MC;02 Say Hello‼︎;03 むげんの☆Lambie;04 SHINY DAYS;MC"
2025-06-21,"『trend continue主催 supported by SUPER IDOL×ライブジム』","浅草VAMPKIN","SE;01 ぽっぽ♪ポジティブ！！;02 MY DREAM MY LIFE;03 始まりの宴;MC"
2025-06-22,"お姫ぱ〜てぃ〜2025-姫杏朝香生誕祭","SHIBUYA CYCLONE","～カバー～ ツインテール魔法少女;夢への一歩;THE FIRST STAR;Believe Again;ワルキューレがとまらない;🆕KAWAIIは正義;Say Hello!!;MY DREAM MY LIFE;始まりの宴;MC"
2025-06-24,"SUPER REPLiCA\"シークレット・ミレア 生誕FES\"","大塚Hearts+","SE;01 始まりの宴;02 SHINY DAYS;03 ぽっぽ♪ポジティブ！！;04 HELLO;05 ろりぽっぷ!!!!!!;MC"
2025-06-28,"SUPER REPLiCA・虹色幻想曲〜プリズム・ファンタジア〜 共同主催『\"スーパーレプリファン\"~vol.2~』","池袋SOUND PEACE","SE;01 ぽっぽ♪ポジティブ！！;02 むげんの★Lambie;03 Say Hello!!;04 ろりぽっぷ!!!!!!!;05 MY DREAM MY LIFE;06 KAWAIIは正義;MC（2本目）"
2025-06-28,"「UNLIMITED〜国際音楽交流イベント」","渋谷音楽堂","SE;01 ろりぽっぷ!!!!!!!;02 Say Hello!!;03 HELLO;04 MY DREAM MY LIFE;MC（1本目）"
2025-06-29,"Killer Tune SHIBUYA 2025 Vol.62","GARRET udagawa","01 むげんの★Lambie;02 ぽっぽ♪ポジティブ！！;03 KAWAIIは正義;04 MY DREAM MY LIFE;05 ろりぽっぷ!!!!!!!;MC（1本目）"
2025-06-29,"LapisBell presents　-Jewelry World-","渋谷ストリームホール","SE;01 ろりぽっぷ!!!!!!!;02 HELLO;03 KAWAIIは正義;04 始まりの宴;05 ぽっぽ♪ポジティブ！！;MC（2本目）"
2025-07-05,"「はなまるっ Vol.93～全組25分SP～」","新宿ZircoTokyo","SE;01 Say Hello‼︎;02 むげんの☆Lambie;03 推し事〜女の子アイドルオタクあるある〜;04 ぽっぽ♪ポジティブ！！;05 KAWAIIは正義;06 ろりぽっぷ!!!!!!!;MC"
2025-07-06,"ライブ予定","（会場未記載）","セトリ投稿確認できず"
2025-07-06,"ネギ☆フェス 2025","浅草VAMPKIN","SE;01 ろりぽっぷ!!!!!!!;02 HELLO;03 SHINY DAYS;04 ぽっぽ♪ポジティブ！！;05 始まりの宴（1本目）"
2025-07-12,"2ndワンマン直前ラスト対バン〜Free LIVE〜\"オブフレ無銭LIVE\"","青山RizM","SE;01 ぽっぽ♪ポジティブ！！;02 HELLO;03 MY DREAM MY LIFE;04 SHINY DAYS;05 Say Hello!!;06 始まりの宴;MC（1本目）"
2025-07-12,"ライブジム 第29弾","新宿Zirco Tokyo","01 むげんの★Lambie;02 KAWAIIは正義;03 ろりぽっぷ!!!!!!!;04 始まりの宴;MC（2本目）"
2025-07-13,"【アイドルマリアージュVol.24～全組25分SP～】","浅草花劇場","SE;01 KAWAIIは正義;02 ぽっぽ♪ポジティブ！！;03 推し事 ~女の子アイドルオタクあるある~;04 HELLO;05 Say Hello!!;06 始まりの宴;MC（1本目）"
2025-07-13,"「はなまるっ Vol.95～全組25分SP～」","新宿ZircoTokyo","SE;01 Say Hello!!;02 むげんの★Lambie;03 MY DREAM MY LIFE;04 SHINY DAYS;05 始まりの宴;06 ぽっぽ♪ポジティブ！！;MC（2本目）"
2025-07-19,"FiDZ主催公演 / 花野夏咲生誕祭2025「ぽんちゃん&フレンズのワンダフル★フレンドシップ」","新宿SAMURAI","SE;01 HELLO;02 ぽっぽ♪ポジティブ！！;03 Say Hello!!;04 むげんの★Lambie;05 推し事 ~女の子アイドルオタクあるある~;06 ろりぽっぷ!!!!!!!;MC（2本目）"
2025-07-19,"「ろりぽっぷ!!!!!!!×LapisBellツーマンライブ」","アイドルステージ新宿","SE;01 始まりの宴;MC;02 MY DREAM MY LIFE;03 ぽっぽ♪ポジティブ！！;04 SHINY DAYS;MC（1本目）"
2025-07-20,"「くるみん完全復活ろりぽっぷ!!!!!!!単独LIVE VOL.5」","新宿アイドルステージ","SE;ろりぽっぷ!!!!!!!;推し事;ぽっぽ♪ポジティブ！！;始まりの宴;MC;BLIND CALL 🆕;乙女ロック 🆕;MC（新曲お披露目・7人体制）"
2025-07-21,"ろりぽっきゅべる！　Vol.2","渋谷eggman","SE;01 ろりぽっぷ!!!!!!!;02 ぽっぽ♪ポジティブ！！;MC;03 乙女ロック;04 推し事〜女の子アイドルオタクあるある〜;05 Say Hello‼︎;06 SHINY DAYS（1本目）"
2025-07-21,"【アイドルマリアージュVol.25～全組30分SP～】","WALL&WALL","SE;01 始まりの宴;02 むげんの☆Lambie;03 ぽっぽ♪ポジティブ！！;MC;04 乙女ロック;05 HELLO;06 BLIND CALL;07 ろりぽっぷ!!!!!!!;MC（2本目）"
2025-07-23,"【ストグリとあそぼ！】","新宿Zirco Tokyo","SE;01 SHINY DAYS;02 MY DREAM MY LIFE;03 ぽっぽ♪ポジティブ！！;04 KAWAIIは正義;05 BLIND CALL;06 乙女ロック;MC"
2025-07-26,"【アイドルアラモードプチVol.112】","横浜ランドマークホール","セトリ投稿確認できず（情報投稿のみ）"
2025-07-27,"『TSUNAGU ～天プロ無銭定期ライブ〜vol.1』","AOHARIUM TOKYO","SE;01 ろりぽっぷ!!!!!!!;02 HELLO;03 MY DREAM MY LIFE;04 推し事;MC;05 乙女ロック;06 始まりの宴;07 ぽっぽ♪ポジティブ！！（1本目）"
