date,event,venue,source
2025-06-02,"ろりぽっぷ!!!!!!!単独ライブ","新宿HEADPOWER","data_event"
2025-06-07,"⚠️HYPE IDOL! × AGE FES!動員⚠️","品川グランドホール","data_event"
2025-06-08,"Killer Tune SHIBUYA 2025 SP LIVE","GARRET udagawa","data_event"
2025-06-08,"LUNCH KIDS主催超！大盛り主催ライブ！「やれんのかって!!!!」","神田CLUB F#","data_event"
2025-06-14,"Killer Tune SHIBUYA 2025 SP LIVE in Shibuya eggman","Shibuya eggman","data_event"
2025-06-14,"「はなまるっ Vol.90」","浅草VAMPKIN","data_event"
2025-06-15,"ライブジム 第27弾","新宿WALLY","data_event"
2025-06-17,"【GOTANDA IDOL FRONTIER-0617-】","五反田G4","data_event"
2025-06-21,"『trend continue主催 supported by SUPER IDOL×ライブジム』","浅草VAMPKIN","data_event"
2025-06-22,"お姫ぱ〜てぃ〜2025-姫杏朝香生誕祭","SHIBUYA CYCLONE","data_event"
2025-06-24,"SUPER REPLiCA""シークレット・ミレア 生誕FES""","大塚Hearts+","data_event"
2025-06-28,"SUPER REPLiCA・虹色幻想曲〜プリズム・ファンタジア〜 共同主催『""スーパーレプリファン""~vol.2~』","池袋SOUND PEACE","data_event"
2025-06-28,"「UNLIMITED〜国際音楽交流イベント」","渋谷音楽堂","data_event"
2025-06-29,"Killer Tune SHIBUYA 2025 Vol.62","GARRET udagawa","data_event"
2025-06-29,"LapisBell presents　-Jewelry World-","渋谷ストリームホール","data_event"
2025-07-05,"「はなまるっ Vol.93～全組25分SP～」","新宿ZircoTokyo","data_event"
2025-07-06,"ネギ☆フェス 2025","浅草VAMPKIN","data_event"
2025-07-06,"ライブ予定","","data_event"
2025-07-12,"2ndワンマン直前ラスト対バン〜Free LIVE〜""オブフレ無銭LIVE""","青山RizM","data_event"
2025-07-12,"ライブジム 第29弾","新宿Zirco Tokyo","data_event"
2025-07-13,"「はなまるっ Vol.95～全組25分SP～」","新宿ZircoTokyo","data_event"
2025-07-13,"【アイドルマリアージュVol.24～全組25分SP～】","浅草花劇場","data_event"
2025-07-19,"FiDZ主催公演 / 花野夏咲生誕祭2025「ぽんちゃん&フレンズのワンダフル★フレンドシップ」","新宿SAMURAI","data_event"
2025-07-19,"「ろりぽっぷ!!!!!!!×LapisBellツーマンライブ」","アイドルステージ新宿","data_event"
2025-07-20,"「くるみん完全復活ろりぽっぷ!!!!!!!単独LIVE VOL.5」","新宿アイドルステージ","data_event"
2025-07-21,"【アイドルマリアージュVol.25～全組30分SP～】","WALL&WALL","data_event"
2025-07-21,"ろりぽっきゅべる！　Vol.2","渋谷eggman","data_event"
2025-07-23,"【ストグリとあそぼ！】","新宿Zirco Tokyo","data_event"
2025-07-26,"【アイドルアラモードプチVol.112】","横浜ランドマークホール","data_event"
2025-07-27,"Killer Tune SHIBUYA 2025 Vol.63","GARRET udagawa","data_event"
2025-07-27,"『TSUNAGU ～天プロ無銭定期ライブ〜vol.1』","AOHARIUM TOKYO","data_event"
2025-07-29,"『Vamos Ao Vivo!! SUMMER BEACH ver.』","ZAIMOKUZA BEACH HOUSE","data_event"
2025-08-02,"シンガポール遠征","シンガポール（現地会場）","data_event"
2025-08-09,"「ASAKUSA DREAMBOX」","浅草VAMPKIN","data_event"
2025-08-09,"【アイドルアラモードプチVol.114】","浅草花劇場","data_event"
2025-08-10,"「アイドル盆おどり」","渋谷カラオケまねきねこ本店4F","data_event"
2025-08-11,"【ポッケからきゅんっふぇす！vol.29】","吉祥寺CLUB SEATA","data_event"
2025-08-15,"LapisBell presents　-Jewelry World- Vol.2","新宿ReNY","data_event"
2025-08-15,"LapisBell presents　-Jewelry World- 番外編SPツーマンライブ！","新宿ReNY","data_event"
2025-08-16,"FANTASTIC IDOL TIME DAY3~昼~","渋谷RING","data_event"
2025-08-17,"苺花なつみ生誕祭2025~ようこそ、苺花庭園へ~","SHIBUYA CYCLONE","data_event"
2025-08-23,"Killer Tune SHIBUYA 2025 SP LIVE","SHIBUYA CYCLONE","data_event"
2025-08-23,"【アイドルアラモードプチVol.116】","浅草花劇場","data_event"
2025-08-24,"『すこフェスmini』","渋谷CAMELOT","data_event"
2025-08-24,"【アイドルマリアージュVol.27】","浅草花劇場","data_event"
2025-08-30,"LUNCHKIDS定期公演Vol.8「超！らんちき祭！~夏は終わらせない！超豪華拡大SP~」","神田CLUB F#","data_event"
2025-08-30,"『キャトられのちなると』","Zirco Tokyo","data_event"
2025-08-31,"Killer Tune SHIBUYA 2025 Vol.64","GARRET udagawa","data_event"
2025-08-31,"【アイドルマリアージュVol.28～全組30分SP～】","WALL&WALL","data_event"
2025-09-02,"単独ライブvol.6 コンセプトライブ","新宿アイドルステージ","data_event"
2025-09-02,"単独ライブvol.6 ワンコインライブ","新宿アイドルステージ","data_event"
2025-09-07,"那須ハイランドパーク🎡","那須ハイランドパーク","data_event"
2025-09-09,"BADKNee presentsSUPER REPLiCA主催""ハッピーレプレプ""~challenge.22~","大塚Hearts Next","data_event"
2025-09-12,"マリナ・ディライトアニバーサリーイベント「Happy Party MARINAight vol.2 -Marinage-」","目黒鹿鳴館","data_event"
2025-09-13,"POP IN FESTIVAL 2025","品川ステラボール","data_event"
2025-09-13,"『DIZZY JAM』","横浜ビブレ Niigo 広場","data_event"
2025-09-14,"【アイドルマリアージュVol.25～全組25分SP～】","WALL&WALL","data_event"
2025-09-14,"月花めもり生誕祭2025","青山RizM","data_event"
2025-09-15,"はなまるっ","浅草VAMPKIN","data_event"
2025-09-20,"Killer Tune SHIBUYA 2025 SP LIVE","SHIBUYA CYCLONE","data_event"
2025-09-20,"【アイドルアラモードプチVol.117】","横浜ランドマークホール","data_event"
2025-09-21,"ライブ予定","シアターマーキュリー新宿","data_event"
2025-09-23,"ライブジム 第37弾","新宿DHNoA","data_event"
2025-09-27,"「はなまるっ Vol.104」","浅草VAMPKIN","data_event"
2025-09-28,"\\\\\\\\❤️やぎくるみ生誕祭2025❤️///","渋谷CYCLONE","data_event"
2025-10-04,"「ろりぽっぷ!!!!!!!主催ライブVol.2」","アイドルステージ新宿","data_event"
