date,member,category,title,outlet,url,note
2025-04,"愛月まな","メディア","BS日テレ冠企画争奪カラオケバトル","BS日テレ","","参加決定。出典: members/aduki_mana.md（日付は月まで）"
2025-04-18,"姫杏朝香・まう・愛月まな","イベント","ネットサイン会","YouTube配信","https://x.com/lollipop_1116/status/1912125053120209223","初回。19:00〜21:00締切。この時期は2組に分けて2日開催"
2025-04-25,"やぎくるみ・夏川茉夢・苺花なつみ","イベント","ネットサイン会","YouTube配信","https://x.com/lollipop_1116/status/1914309594438140284","衣装は巫女"
2025-08-21,"松川愛美・姫杏朝香・愛月まな","イベント","ネットサイン会","YouTube配信","https://x.com/lollipop_1116/status/1956176163404935652","19:00〜21:00締切"
2025-08-22,"やぎくるみ・夏川茉夢・苺花なつみ・まう","イベント","ネットサイン会","YouTube配信","https://x.com/lollipop_1116/status/1956176974218747908","19:00〜21:00締切"
2025-09-15,"愛月まな","メディア","ドラマ「Love Sea ～愛の居場所～」第6話","フジテレビ","","小椋ふみの友人役・レナ。26:15〜・関東ローカル（出典: members/aduki_mana.md）"
2025-09-15,"まう","メディア","ドラマ「Love Sea ～愛の居場所～」第8話","フジテレビ／FOD","https://x.com/mau_lpop/status/1966456793359380844","ファン役。7・8話は9/15(月)26:45〜 FOD で先行配信"
2025-12-06,"","イベント","ネットサイン会","YouTube配信","https://x.com/lollipop_1116/status/1996541242948387066","18:00〜21:00。ここから全員まとめての開催になる"
2025-12-28,"","イベント","ネットサイン会","YouTube配信","https://x.com/lollipop_1116/status/2003365318585208931","衣装はサンタコス。2025年最後"
2026-01,"","配信","【#アイドルばっか】ファントムシータ「botばっか」Dance Video","YouTube（ファントムシータ公式）","https://www.youtube.com/watch?v=q1kJKhC6clc","当時のメンバー全員で参加。日付は月まで（出典: members/mau.md）"
2026-01-29,"","イベント","ネットサイン会","YouTube配信","https://x.com/lollipop_1116/status/2015725233039360510","衣装は巫女。夏川茉夢は体調不良で欠席（2/6に振替）"
2026-02-06,"夏川茉夢・愛月まな","イベント","ネットサイン会（振替）","YouTube配信","https://x.com/lollipop_1116/status/2018258433968165220","夏川茉夢の振替と、愛月まなの書ききれなかった分"
2026-02-28,"","イベント","ネットサイン会","YouTube配信","https://x.com/lollipop_1116/status/2026160440238305710","テーマはパジャマ"
2026-03-26,"","イベント","ネットサイン会","YouTube配信","https://x.com/lollipop_1116/status/2035693494401224915","テーマはエプロン"
2026-04-30,"","イベント","ネットサイン会","YouTube配信","https://x.com/lollipop_1116/status/2048590474479571436","姫杏朝香のラスト。7人での最後のネットサイン会"
2026-05-28,"","イベント","ネットサイン会","YouTube配信","https://x.com/lollipop_1116/status/2058443594948907457","テーマはワンピースコーデ"
2026-06-25,"","イベント","ネットサイン会","YouTube配信","https://x.com/lollipop_1116/status/2069049542146924591","テーマはデビュー衣装"
2026-07-23,"","イベント","ネットサイン会","YouTube配信","https://x.com/lollipop_1116/status/2077718106819154260","テーマはアジアンワンピース"
2026-07-26,"まう","客演","メリーミューズ サポートメンバー","神田CLUB F#","https://x.com/mau_lpop/status/2080998752740098098","ろりぽっぷ!!!!!!!としての出演とは別枠"
2026-08-20,"","イベント","ネットサイン会","YouTube配信","https://x.com/lollipop_1116/status/2087876819366330744","苺花なつみのラスト（妖精衣装）。松川愛美は体調不良で欠席（8/27に振替）"
2026-08-23,"","イベント","ろりぽっぷ!!!!!!!浴衣チェキ会","東上野 長谷川ビル3階","https://x.com/lollipop_1116/status/2091103135972594139","入場料1000円"
2026-08-27,"松川愛美","イベント","ネットサイン会（振替）","YouTube配信","https://x.com/lollipop_1116/status/2092872045982040487","20:30〜21:30に変更"
2026-09-25,"やぎくるみ","MC・司会","エンタパークフェス2026 公式MC","イオンモールむさし村山","https://x.com/lollipop_1116/status/2096933225461436820","事前オーディションを勝ち抜いて決定"
2026-09-27,"松川愛美","MC・司会","エンタパークフェス2026 公式リポーター","イオンモールむさし村山","https://x.com/lollipop_1116/status/2096933225461436820","事前オーディションを勝ち抜いて決定"
